Gene,Weight
GAPDH,-0.00031700801524433696
RUNDC3A,-0.00031702705606988344
ARF3,-0.0003206186112731485
PPIB,-0.00032096122202577535
GRIPAP1,-0.0003223811990944867
MICAL2,-0.00032288705610020516
ATP6V1B2,-0.0003232435894146092
SNTA1,-0.00032370080365325214
BRSK1,-0.00032757708561224154
SRP14,-0.0003281494900900674
PDZD4,-0.00032905412927849894
KIFC2,-0.00032916269795441755
PSD3,-0.00033081770724673493
STXBP1,-0.00033172908583499927
HMP19,-0.0003317910675353475
CTNNA3,-0.0003333786413667638
TLN1,-0.0003348161220812387
RPL19,-0.00033530599494332943
CENTG1,-0.000337448782218712
LRRFIP2,-0.0003385807689296139
SLC30A9,-0.00034148598141829606
PBXIP1,-0.0003420347818014686
CALM3,-0.0003427358987230496
SYP,-0.0003428976627125053
AP2M1,-0.000343101831072716
NGEF,-0.00034423471102635006
KIF5C,-0.00034434727933147245
RPS13,-0.0003458256132512086
FMNL2,-0.00034608066586458143
GABARAP,-0.00034632799314168804
EDF1,-0.0003467338726567577
MYH9,-0.0003484499029655201
SAFB2,-0.0003488369445243705
PDK4,-0.0003491072082762337
FLNA,-0.0003501405581618906
SPECC1,-0.00035037555151858643
PHYHIP,-0.0003509242208627044
CHGB,-0.0003526045327795991
RBM5,-0.0003541850061199509
SNORD115-1,-0.0003542193852570316
SNORD113-1,-0.0003579471258719883
7-Sep,-0.0003592149272160385
MCF2L,-0.0003594436661652844
CLK1,-0.0003596856489031634
SNORD114-10,-0.00036318310070837485
ANKRD40,-0.0003638508017921281
R3HDM1,-0.0003649307062394255
YWHAZ,-0.0003667418943363421
DTNA,-0.0003670373265479541
RPS11,-0.00036776966880648247
RHOBTB3,-0.00037091338137007946
RBM3,-0.00037287566869481154
PRKAR1A,-0.0003730278627423904
RPS4X,-0.0003731299791752931
CNTN1,-0.0003739737273443217
DSTN,-0.00037495564804213157
DDIT4,-0.0003769460543567714
RPL41,-0.0003777508308168373
LENG8,-0.0003781107765898979
GAS5,-0.00037930108377090766
TJP1,-0.0003810174409682259
MEF2C,-0.0003817538902006528
CADM3,-0.0003829345299823248
GJA1,-0.0003915749417573256
MIF,-0.00039238801324167883
DOCK1,-0.00039272425486415116
BIN1,-0.00039350439453747624
PPP1R12C,-0.00039419347435168915
AGTPBP1,-0.0003953006976923813
RPS20,-0.0003956588835753038
GOLIM4,-0.000396551350632565
EXOC6B,-0.0003982424448740011
DDX24,-0.00039871749008789874
CD63,-0.00039892205713543295
PYGB,-0.0003999161528673249
SSFA2,-0.00040109905133924826
CALM1,-0.00040153209207763725
DKK3,-0.0004022359438699716
LIFR,-0.0004026476752747555
CIT,-0.0004033754587475847
RPL34,-0.0004035847684787244
RGS4,-0.00040499122818803926
PDE4DIP,-0.0004050111373852472
TEGT,-0.00040501946280222456
DYNC1LI2,-0.00040709561027712496
KIAA0513,-0.00040817609306467945
hCG_21078,-0.00040879163801495314
PLEKHM2,-0.00041018898121812116
EXOSC10,-0.00041023928198928784
HIP1R,-0.00041244191065567293
DOCK9,-0.0004132867008987555
RPL37,-0.00041996211688842663
RPL26,-0.00041999935020684736
UBC,-0.00042072918515543737
SCARNA16,-0.00042234743101308324
RHOA,-0.0004242833226399194
